,date,ad,ad_type,primed,browser_size,dist,Air Travel,Eyewear,Food and Drinks,Headphones,Men's Fashion,None of the above,None of these products,Soda,TV Shows,Women's Fashion,Do you use ad blocking software on your computer?,How relevant was the ad to you?,Do you generally find that ads are relevant to you?,How important is it to you that ads help you find products you are interested in?,Did the ad you saw help you find a product you are interested in?,Do you think this ad technology can reliably help you find products you are interested in?,Do you have a smart phone?,How often do you make purchases using your mobile phone?,How often do you make purchases using your computer?,What is your age?,What is your gender?,What type of environment do you most identify with?
5160398642741248,2017-02-16 14:37:50.45 UTC,TV Shows,new,True,"1920,950",2824.0217237060924,True,False,True,False,False,False,False,False,True,False,No,2,3,2,1,1,Yes,Often (monthly),Sometimes (every 2-3 months),31-40 years old,Male,Urban
5167132077719552,2017-02-13 03:19:55.46285 UTC,Food and Drinks,new,True,"1440,759",5434.909609698682,False,False,True,False,False,False,False,False,True,False,Yes,3,2,1,1,3,Yes,Rarely (less than twice a year),Often (monthly),31-40 years old,Male,Urban
5171105190903808,2017-02-18 04:10:38.54132 UTC,TV Shows,new,False,"1280,617",3420.612046711522,False,False,False,False,False,False,False,False,True,False,Yes,4,3,3,3,5,Yes,Sometimes (every 2-3 months),Often (monthly),31-40 years old,Male,Rural
5176457257025536,2017-02-13 03:09:52.04611 UTC,Food and Drinks,new,True,"1366,638",2766.7993386019966,True,False,True,False,False,False,False,False,True,False,Yes,2,3,4,3,3,Yes,Never,Rarely (less than twice a year),25-30 years old,Male,Urban
5179846254657536,2017-02-15 02:27:17.77981 UTC,Air Travel,old,False,"360,616",0.0,True,False,True,False,False,False,False,False,True,False,No,1,1,3,3,3,Yes,Never,Often (monthly),31-40 years old,Female,Urban
5186378094608384,2017-02-13 16:53:34.15402 UTC,Food and Drinks,new,True,"1366,673",5112.414021500154,False,False,True,False,False,False,False,False,True,False,Yes,4,4,3,3,4,Yes,Never,Very often (weekly),40+ years old,Female,Rural
5187840530972672,2017-02-15 19:24:53.56881 UTC,Food and Drinks,old,False,"1536,747",944.1050545540171,False,False,True,False,False,False,False,False,False,False,No,1,3,3,1,2,No,Never,Often (monthly),40+ years old,Male,Urban
5197870353350656,2017-02-13 03:37:34.09402 UTC,Air Travel,new,True,"1366,678",558.9663017077061,True,False,True,False,False,False,False,False,True,False,No,3,3,4,3,3,Yes,Often (monthly),Very often (weekly),40+ years old,Female,Rural
5206065687822336,2017-02-13 08:23:22.43282 UTC,TV Shows,new,True,"1178,708",3296.931423610065,False,False,True,False,False,False,False,False,True,False,Yes,5,4,5,4,5,Yes,Never,Sometimes (every 2-3 months),40+ years old,Female,Rural
5206978905243648,2017-02-17 20:44:16.05265 UTC,TV Shows,new,True,"1324,729",3823.2948222768737,True,False,True,False,False,False,False,False,True,False,No,3,2,2,1,2,Yes,Sometimes (every 2-3 months),Often (monthly),25-30 years old,Female,Urban
5212260104404992,2017-02-13 22:45:34.04502 UTC,TV Shows,new,False,"1280,724",796.5685058825964,True,False,True,False,False,False,False,False,True,False,No,4,3,2,1,2,Yes,Very often (weekly),Often (monthly),25-30 years old,Female,Urban
5217233139662848,2017-02-16 05:55:07.97622 UTC,TV Shows,old,False,"1920,930",4029.647417500582,False,False,False,False,False,False,False,False,True,False,No,1,1,3,1,3,Yes,Often (monthly),Often (monthly),40+ years old,Female,Urban
5307869566074880,2017-02-15 05:35:29.5267 UTC,Food and Drinks,new,False,"1920,950",1964.1847673498723,True,False,True,False,False,False,False,False,True,False,Yes,3,3,4,3,4,Yes,Sometimes (every 2-3 months),Often (monthly),31-40 years old,Male,Urban
5348024557502464,2017-02-13 23:52:00.26093 UTC,TV Shows,new,False,"1920,950",2620.483935732601,True,False,True,False,False,False,False,False,True,False,Yes,1,1,1,1,2,Yes,Often (monthly),Often (monthly),40+ years old,Female,Rural
5352997592760320,2017-02-13 12:38:26.57989 UTC,TV Shows,old,False,"1600,770",1652.7871805374612,False,False,False,False,False,False,False,False,True,False,No,3,2,1,1,2,Yes,Never,Often (monthly),40+ years old,Male,Urban
5357970628018176,2017-02-14 02:24:04.30932 UTC,Food and Drinks,new,True,"1920,974",3847.9489894608905,False,False,True,False,False,False,False,False,False,False,No,3,3,2,5,4,Yes,Sometimes (every 2-3 months),Often (monthly),40+ years old,Female,Urban
5362931583680512,2017-02-13 19:55:24.21237 UTC,Air Travel,new,False,"1280,700",2511.4698832031645,True,False,True,False,False,False,False,False,False,False,No,3,3,1,1,1,Yes,Often (monthly),Very often (weekly),25-30 years old,Female,Rural
5377838609858560,2017-02-13 19:40:25.25212 UTC,Air Travel,old,False,"1434,716",2402.497649142417,True,False,False,False,False,False,False,False,False,False,Yes,3,2,3,1,3,Yes,Sometimes (every 2-3 months),Often (monthly),25-30 years old,Male,Urban
5382773795717120,2017-02-15 01:30:50.81257 UTC,Food and Drinks,new,False,"1366,634",1928.06923317128,True,False,True,False,False,False,False,False,True,False,Yes,1,2,1,1,1,Yes,Never,Often (monthly),40+ years old,Male,Urban
5394598109118464,2017-02-13 19:54:03.35322 UTC,Food and Drinks,old,True,"930,576",1724.0513712459785,True,False,True,False,False,False,False,False,False,False,What is ad blocking software?,1,3,2,1,3,Yes,Very often (weekly),Very often (weekly),25-30 years old,Female,Urban
5401142565535744,2017-02-14 07:02:12.89972 UTC,Air Travel,new,False,"1536,758",1659.9921947334694,True,False,True,False,False,False,False,False,True,False,No,1,2,1,1,1,Yes,Very often (weekly),Very often (weekly),31-40 years old,Male,Urban
5410987167449088,2017-02-13 19:43:19.80134 UTC,Air Travel,new,False,"1368,807",1614.0436168187773,True,False,True,False,False,False,False,False,True,False,No,3,3,1,2,1,Yes,Very often (weekly),Often (monthly),31-40 years old,Female,Urban
5418830851473408,2017-02-15 01:22:03.62761 UTC,TV Shows,new,True,"1280,709",658.3001121432134,True,False,True,False,False,False,False,False,True,False,No,3,3,5,3,5,No,Never,Very often (weekly),40+ years old,Male,Urban
5432688026583040,2017-02-14 01:05:04.44137 UTC,Air Travel,old,True,"1143,671",875.6001778571507,True,False,True,False,False,False,False,False,True,False,Yes,1,1,1,1,1,Yes,Rarely (less than twice a year),Sometimes (every 2-3 months),18-24 years old,Female,Urban
